"","pid","sex","birth_year","race","hispanic","home_language","US_born","grade_w1","suspension_this_year","ever_suspended","grade_last_suspended","extrav","agree","consc","neuro","open","anger","optimism","anxiety","race_complex","extrav_c","agree_c","consc_c","neuro_c","open_c","anxiety_c","anger_c","optimism_c"
"35","57136630","female",80,"OTHER","no","English","no","9","no","no",NA,2.75,3.25,3.25,3,3,2.25,2.75,2.25,"Asian/Pacific Islander",-0.304808195862791,0.34768591254255,0.268296674522126,0.0430904687090861,-0.307966745221262,-0.605230426813302,-0.786200576067033,-0.0921543597800469
"36","57138056","male",81,"OTHER","no","English","yes","9","no","yes","8",3,3,2.75,3.5,3.25,2.5,3.25,3,"White",-0.0548081958627913,0.0976859125425502,-0.231703325477874,0.543090468709086,-0.057966745221262,0.144769573186698,-0.536200576067033,0.407845640219953
"37","57139880","male",81,"OTHER","no","English","yes","7","no","no",NA,3,2.25,2.5,3.5,3.75,4,2.25,3.25,"White",-0.0548081958627913,-0.65231408745745,-0.481703325477874,0.543090468709086,0.442033254778738,0.394769573186698,0.963799423932967,-0.592154359780047
"38","57141051","male",80,"OTHER","no","English","yes","9","no","no",NA,3.25,2.75,3,3.25,3.5,3.5,2.75,3,"White",0.195191804137209,-0.15231408745745,0.018296674522126,0.293090468709086,0.192033254778738,0.144769573186698,0.463799423932967,-0.0921543597800469
"39","57141800","female",82,"HISPANIC","yes","Spanish","yes","7",NA,"no",NA,3.25,3.5,3.25,3.5,4,2.75,3.25,2.5,"Other",0.195191804137209,0.59768591254255,0.268296674522126,0.543090468709086,0.692033254778738,-0.355230426813302,-0.286200576067033,0.407845640219953
"41","57144659","male",78,"BLACK","no","English","yes","11","no","yes","10",3,2.75,2.5,3,3,2.5,2.75,2.75,"Black",-0.0548081958627913,-0.15231408745745,-0.481703325477874,0.0430904687090861,-0.307966745221262,-0.105230426813302,-0.536200576067033,-0.0921543597800469
"42","57145151","female",80,"OTHER","no","English","yes","9","no","no",NA,3.25,3.25,3,3,3.5,3.5,3,2.75,"Asian/Pacific Islander",0.195191804137209,0.34768591254255,0.018296674522126,0.0430904687090861,0.192033254778738,-0.105230426813302,0.463799423932967,0.157845640219953
"44","57145731","male",76,"BLACK","no","English","yes","11",NA,"yes","10",3.5,3.25,2.75,3.5,3.5,3,3,3.5,"Black",0.445191804137209,0.34768591254255,-0.231703325477874,0.543090468709086,0.192033254778738,0.644769573186698,-0.0362005760670332,0.157845640219953
"45","57146734","male",82,"HISPANIC","yes","English",NA,"7","no","yes","5",3.5,3.25,3.25,3,3.75,2.75,3,2.75,"Indigenous/Native American",0.445191804137209,0.34768591254255,0.268296674522126,0.0430904687090861,0.442033254778738,-0.105230426813302,-0.286200576067033,0.157845640219953
"46","57153160","male",77,"BLACK","yes","English","yes","10","no","yes","10",3.5,3,2.75,2.75,3.75,3,2.75,3.5,"Black",0.445191804137209,0.0976859125425502,-0.231703325477874,-0.206909531290914,0.442033254778738,0.644769573186698,-0.0362005760670332,-0.0921543597800469
