"","pid","sex","birth_year","race","hispanic","home_language","US_born","grade_w1","suspension_this_year","ever_suspended","grade_last_suspended","extrav","agree","consc","neuro","open","anger","optimism","anxiety","race_complex","extrav_c","agree_c","consc_c","neuro_c","open_c","anxiety_c","anger_c","optimism_c"
"919","91571677","female",76,"BLACK","no","English","yes","12",NA,"no",NA,2.75,2,3.25,2.75,2.75,3,3.25,3,"Black",-0.304808195862791,-0.90231408745745,0.268296674522126,-0.206909531290914,-0.557966745221262,0.144769573186698,-0.0362005760670332,0.407845640219953
"920","91571703","male",79,"OTHER","no","English","yes",NA,NA,"yes","8",3.25,2.5,3,3.25,3,3,3,2.75,"White",0.195191804137209,-0.40231408745745,0.018296674522126,0.293090468709086,-0.307966745221262,-0.105230426813302,-0.0362005760670332,0.157845640219953
"922","91571706","female",77,"OTHER","no","English","yes","11","no","yes","11",2.5,2.75,2.75,3.25,3.25,2.75,2.75,2.5,"White",-0.554808195862791,-0.15231408745745,-0.231703325477874,0.293090468709086,-0.057966745221262,-0.355230426813302,-0.286200576067033,-0.0921543597800469
"923","91571707","female",77,"OTHER","no","English","yes","12",NA,"yes","12",2,2.5,3,2.75,3.5,2.75,2.5,2.25,"White",-1.05480819586279,-0.40231408745745,0.018296674522126,-0.206909531290914,0.192033254778738,-0.605230426813302,-0.286200576067033,-0.342154359780047
"924","91571756","male",79,"OTHER","no","English",NA,"10","no","no",NA,2.75,2.5,2.75,3,3.25,2.75,2.75,3.5,"White",-0.304808195862791,-0.40231408745745,-0.231703325477874,0.0430904687090861,-0.057966745221262,0.644769573186698,-0.286200576067033,-0.0921543597800469
"925","91571807","female",78,"OTHER","no","English",NA,"11","no","no",NA,3,2.75,3.25,2.75,3.5,2.5,3.25,2.75,"White",-0.0548081958627913,-0.15231408745745,0.268296674522126,-0.206909531290914,0.192033254778738,-0.105230426813302,-0.536200576067033,0.407845640219953
"926","91571812","female",81,"OTHER","no","English",NA,"7","no","no",NA,4,3,2.75,3.5,3.5,3.5,2.75,2.5,"White",0.945191804137209,0.0976859125425502,-0.231703325477874,0.543090468709086,0.192033254778738,-0.355230426813302,0.463799423932967,-0.0921543597800469
"927","91571817","male",78,"OTHER","no","English",NA,"10","no","no",NA,3.25,3.25,3,3.5,3.5,2.75,2.75,2.75,"White",0.195191804137209,0.34768591254255,0.018296674522126,0.543090468709086,0.192033254778738,-0.105230426813302,-0.286200576067033,-0.0921543597800469
"928","91571857","male",77,"OTHER","no","English","yes","11",NA,"no",NA,3.5,2.75,3,3.25,3.5,3,3,3,"White",0.445191804137209,-0.15231408745745,0.018296674522126,0.293090468709086,0.192033254778738,0.144769573186698,-0.0362005760670332,0.157845640219953
"930","91571876","female",77,"BLACK","no","English","yes","12",NA,"no",NA,3,2.75,3.25,2.5,3.25,2.75,1.75,2.5,"Black",-0.0548081958627913,-0.15231408745745,0.268296674522126,-0.456909531290914,-0.057966745221262,-0.355230426813302,-0.286200576067033,-1.09215435978005
"933","91572001","male",77,"OTHER","no","English","yes","12",NA,"no",NA,3.25,3,2.5,2.75,3.5,2.75,3.25,2.25,"White",0.195191804137209,0.0976859125425502,-0.481703325477874,-0.206909531290914,0.192033254778738,-0.605230426813302,-0.286200576067033,0.407845640219953
"935","91572040","male",77,"OTHER","no","English","yes","11","no","yes","11",4.25,3.5,3,3.5,3,3,3,2.75,"White",1.19519180413721,0.59768591254255,0.018296674522126,0.543090468709086,-0.307966745221262,-0.105230426813302,-0.0362005760670332,0.157845640219953
"936","91572063","female",80,"OTHER","no","English",NA,"9","no","no",NA,2.5,3,3,3.5,3.75,3,2,2.75,"White",-0.554808195862791,0.0976859125425502,0.018296674522126,0.543090468709086,0.442033254778738,-0.105230426813302,-0.0362005760670332,-0.842154359780047
"937","91572076","female",77,"OTHER","no","English","yes","11","no","yes","7",3,3.5,3.75,3.25,3.5,3.25,2.5,2.75,"White",-0.0548081958627913,0.59768591254255,0.768296674522126,0.293090468709086,0.192033254778738,-0.105230426813302,0.213799423932967,-0.342154359780047
"938","91572117","male",80,"OTHER","no","English","yes","9","no","yes","9",3.25,1.5,3,2.5,3.75,3,3,2.75,"White",0.195191804137209,-1.40231408745745,0.018296674522126,-0.456909531290914,0.442033254778738,-0.105230426813302,-0.0362005760670332,0.157845640219953
"939","91572122","male",76,"OTHER","no","English","yes","12",NA,"no",NA,2.75,2.75,2.5,3,3,3,2.75,2.5,"Indigenous/Native American",-0.304808195862791,-0.15231408745745,-0.481703325477874,0.0430904687090861,-0.307966745221262,-0.355230426813302,-0.0362005760670332,-0.0921543597800469
"940","91572128","male",81,"HISPANIC","yes","English","yes","8","no","no",NA,3.5,2.75,4,2.5,3.25,2.75,2.5,2.25,"Indigenous/Native American",0.445191804137209,-0.15231408745745,1.01829667452213,-0.456909531290914,-0.057966745221262,-0.605230426813302,-0.286200576067033,-0.342154359780047
"941","91572129","male",78,"OTHER","no","English","yes","10","no","yes","10",3.25,3,3,3.25,2.75,3.5,3.5,3.25,"White",0.195191804137209,0.0976859125425502,0.018296674522126,0.293090468709086,-0.557966745221262,0.394769573186698,0.463799423932967,0.657845640219953
"942","91572145","female",78,"OTHER","no","English","yes","11",NA,"no",NA,3,3.25,2.5,2.75,3.5,3.5,2.75,2.75,"White",-0.0548081958627913,0.34768591254255,-0.481703325477874,-0.206909531290914,0.192033254778738,-0.105230426813302,0.463799423932967,-0.0921543597800469
"943","91572183","male",82,"OTHER","no","English","yes","7","no","no",NA,2.5,3,2.5,3.25,2.75,2.75,1.75,2,"White",-0.554808195862791,0.0976859125425502,-0.481703325477874,0.293090468709086,-0.557966745221262,-0.855230426813302,-0.286200576067033,-1.09215435978005
"944","91572185","male",79,"BLACK","no","English","yes","10",NA,"no",NA,2.75,2.25,3,3,3,2.75,3,2,"Black",-0.304808195862791,-0.65231408745745,0.018296674522126,0.0430904687090861,-0.307966745221262,-0.855230426813302,-0.286200576067033,0.157845640219953
"945","91572190","male",79,"HISPANIC","yes","Spanish","yes","10","no","yes","9",3,3,2.5,3.25,3.5,3,2.75,3,"Other",-0.0548081958627913,0.0976859125425502,-0.481703325477874,0.293090468709086,0.192033254778738,0.144769573186698,-0.0362005760670332,-0.0921543597800469
"947","91572195","male",77,"OTHER","no","English","yes","11","no","yes","9",2.5,2.75,2.75,2.5,3.75,2.25,2.25,3.25,"White",-0.554808195862791,-0.15231408745745,-0.231703325477874,-0.456909531290914,0.442033254778738,0.394769573186698,-0.786200576067033,-0.592154359780047
"948","91572204","male",77,"OTHER","no","English",NA,"12",NA,"no",NA,2.5,3.25,3.25,3.75,3.5,3,3,3.25,"White",-0.554808195862791,0.34768591254255,0.268296674522126,0.793090468709086,0.192033254778738,0.394769573186698,-0.0362005760670332,0.157845640219953
"949","91572214","female",79,"OTHER","no","English","yes","10","no","no",NA,3.75,2.5,2.5,1.75,3,2.75,3.5,2.5,"White",0.695191804137209,-0.40231408745745,-0.481703325477874,-1.20690953129091,-0.307966745221262,-0.355230426813302,-0.286200576067033,0.657845640219953
"950","91572221","male",77,"OTHER","no","English","yes","12",NA,"no",NA,3.5,2.25,3.25,3,3.75,3.25,2.5,2.75,"Indigenous/Native American",0.445191804137209,-0.65231408745745,0.268296674522126,0.0430904687090861,0.442033254778738,-0.105230426813302,0.213799423932967,-0.342154359780047
"951","91572222","female",80,"OTHER","no","English","yes","8","no","no",NA,3.25,2.75,3.25,2.75,3,2.75,2.75,2.5,"Indigenous/Native American",0.195191804137209,-0.15231408745745,0.268296674522126,-0.206909531290914,-0.307966745221262,-0.355230426813302,-0.286200576067033,-0.0921543597800469
"953","91572282","female",76,"BLACK","no","English",NA,"12",NA,"no",NA,3.25,2.75,2.25,3.25,3.5,4,3,3.5,"Black",0.195191804137209,-0.15231408745745,-0.731703325477874,0.293090468709086,0.192033254778738,0.644769573186698,0.963799423932967,0.157845640219953
"954","91572283","male",78,"OTHER","no","English","yes","10",NA,"yes","10",3,2.75,2.75,3,3,3.25,3.75,3.25,"White",-0.0548081958627913,-0.15231408745745,-0.231703325477874,0.0430904687090861,-0.307966745221262,0.394769573186698,0.213799423932967,0.907845640219953
"955","91572288","female",77,"OTHER","no","English","yes","11","no","no",NA,2.75,2.5,3,3,3.25,2.5,2.75,2.75,"White",-0.304808195862791,-0.40231408745745,0.018296674522126,0.0430904687090861,-0.057966745221262,-0.105230426813302,-0.536200576067033,-0.0921543597800469
"956","91572289","female",79,"OTHER","no","English","yes","9","no","no",NA,3,3,3.25,3,3.25,3,3,3.5,"White",-0.0548081958627913,0.0976859125425502,0.268296674522126,0.0430904687090861,-0.057966745221262,0.644769573186698,-0.0362005760670332,0.157845640219953
"958","91572297","male",77,"OTHER","no","English","yes","12",NA,"no",NA,3.25,2.75,2.5,3,3.5,3,3,3,"White",0.195191804137209,-0.15231408745745,-0.481703325477874,0.0430904687090861,0.192033254778738,0.144769573186698,-0.0362005760670332,0.157845640219953
"959","91572321","female",79,"OTHER","no","Other","yes","10","no","yes","6",3.5,3,3.5,3,3.75,3.25,2.75,2.25,"Indigenous/Native American",0.445191804137209,0.0976859125425502,0.518296674522126,0.0430904687090861,0.442033254778738,-0.605230426813302,0.213799423932967,-0.0921543597800469
"960","91572328","female",80,"HISPANIC","yes","Spanish","yes","9","no","no",NA,3,3,3.25,2.5,2.75,3.25,3,3.25,"White",-0.0548081958627913,0.0976859125425502,0.268296674522126,-0.456909531290914,-0.557966745221262,0.394769573186698,0.213799423932967,0.157845640219953
"961","91572346","female",78,"OTHER","no","English","yes","10",NA,"no",NA,3.25,3,3,2.5,2.75,3,2.25,3,"White",0.195191804137209,0.0976859125425502,0.018296674522126,-0.456909531290914,-0.557966745221262,0.144769573186698,-0.0362005760670332,-0.592154359780047
"962","91572369","female",78,"OTHER","no","English",NA,"11","no","no",NA,3,3,2.5,3,3.5,3,3,2.5,"White",-0.0548081958627913,0.0976859125425502,-0.481703325477874,0.0430904687090861,0.192033254778738,-0.355230426813302,-0.0362005760670332,0.157845640219953
"963","91572373","female",76,"OTHER","no","English","yes","12",NA,"no",NA,3,3.25,3,2.5,3,3.25,3,2.5,"White",-0.0548081958627913,0.34768591254255,0.018296674522126,-0.456909531290914,-0.307966745221262,-0.355230426813302,0.213799423932967,0.157845640219953
"964","91572381","female",79,"BLACK","no","English","no","9","no","no",NA,3.5,3.25,2.75,2.75,3,3,3,2.75,"Black",0.445191804137209,0.34768591254255,-0.231703325477874,-0.206909531290914,-0.307966745221262,-0.105230426813302,-0.0362005760670332,0.157845640219953
"965","91572385","female",82,"OTHER","no","English","yes","7","yes","no",NA,3.25,3,2.5,1.75,3,2.25,3,2.25,"White",0.195191804137209,0.0976859125425502,-0.481703325477874,-1.20690953129091,-0.307966745221262,-0.605230426813302,-0.786200576067033,0.157845640219953
"966","91572387","female",81,"BLACK","no","English","yes","8","no","no",NA,3.25,3.25,3.25,3,3.5,3.25,3.25,2.5,"Black",0.195191804137209,0.34768591254255,0.268296674522126,0.0430904687090861,0.192033254778738,-0.355230426813302,0.213799423932967,0.407845640219953
"967","91572389","female",77,"OTHER","no","English","yes","12","no","no",NA,3.5,2.75,3,3,4,3,3,3,"White",0.445191804137209,-0.15231408745745,0.018296674522126,0.0430904687090861,0.692033254778738,0.144769573186698,-0.0362005760670332,0.157845640219953
"968","91572396","male",80,"OTHER","no","English","yes","9","no","no",NA,3,3.25,3.25,3.25,3.5,3.25,3,2.75,"White",-0.0548081958627913,0.34768591254255,0.268296674522126,0.293090468709086,0.192033254778738,-0.105230426813302,0.213799423932967,0.157845640219953
"969","91572408","male",77,"OTHER","no","English","yes","11","no","yes","9",2.5,2.75,3,2.5,3.25,2.5,3,2.5,"White",-0.554808195862791,-0.15231408745745,0.018296674522126,-0.456909531290914,-0.057966745221262,-0.355230426813302,-0.536200576067033,0.157845640219953
"970","91572442","female",78,"OTHER","no","English","yes","11","no","no",NA,3,2.75,3,3.5,2.5,3.25,3.5,2.75,"White",-0.0548081958627913,-0.15231408745745,0.018296674522126,0.543090468709086,-0.807966745221262,-0.105230426813302,0.213799423932967,0.657845640219953
"971","91572462","male",82,"OTHER","no","English","yes","7","no","no",NA,3.5,2.5,2.5,3,3,3,3,3,"White",0.445191804137209,-0.40231408745745,-0.481703325477874,0.0430904687090861,-0.307966745221262,0.144769573186698,-0.0362005760670332,0.157845640219953
"972","91572471","male",79,"OTHER","no","English","yes","10","no","yes","10",3.5,2.75,3,2.75,3,3,2.75,3.25,"White",0.445191804137209,-0.15231408745745,0.018296674522126,-0.206909531290914,-0.307966745221262,0.394769573186698,-0.0362005760670332,-0.0921543597800469
"975","91572900","male",79,"OTHER","no","English","yes","10","no","no",NA,3,2.5,3.75,3,3.5,3,3,2.75,"White",-0.0548081958627913,-0.40231408745745,0.768296674522126,0.0430904687090861,0.192033254778738,-0.105230426813302,-0.0362005760670332,0.157845640219953
"976","91572918","female",79,"OTHER","no","English","yes","10","yes","no",NA,3.25,3,3.75,3.25,3.5,3.25,2.5,3,"White",0.195191804137209,0.0976859125425502,0.768296674522126,0.293090468709086,0.192033254778738,0.144769573186698,0.213799423932967,-0.342154359780047
"977","91572921","female",76,"HISPANIC","yes","English","yes","12",NA,"no",NA,3.75,3,3.25,3.25,3.5,2.5,3,2.75,"White",0.695191804137209,0.0976859125425502,0.268296674522126,0.293090468709086,0.192033254778738,-0.105230426813302,-0.536200576067033,0.157845640219953
"978","91572964","female",78,"OTHER","no","English","yes","10","no","yes","8",2.75,3.25,3.5,2.75,3.5,2.25,3.25,3,"White",-0.304808195862791,0.34768591254255,0.518296674522126,-0.206909531290914,0.192033254778738,0.144769573186698,-0.786200576067033,0.407845640219953
"980","91572981","male",77,"OTHER","no","English",NA,"11",NA,"no",NA,3.25,2.75,3.25,2.25,3,2.5,3,3,"White",0.195191804137209,-0.15231408745745,0.268296674522126,-0.706909531290914,-0.307966745221262,0.144769573186698,-0.536200576067033,0.157845640219953
"982","91572989","female",78,"OTHER","no","English",NA,"10","no","no",NA,3.25,2.75,2.5,2.25,2.75,3,2.5,2.75,"White",0.195191804137209,-0.15231408745745,-0.481703325477874,-0.706909531290914,-0.557966745221262,-0.105230426813302,-0.0362005760670332,-0.342154359780047
"983","91572999","male",78,"OTHER","no","English","yes","11","no","no",NA,3.75,3,2.25,3.25,4,3,3,2.5,"White",0.695191804137209,0.0976859125425502,-0.731703325477874,0.293090468709086,0.692033254778738,-0.355230426813302,-0.0362005760670332,0.157845640219953
"984","91573010","male",76,"OTHER","no","English","yes","12",NA,"no",NA,3.5,2.5,3.5,3,3,3.5,2.5,3,"White",0.445191804137209,-0.40231408745745,0.518296674522126,0.0430904687090861,-0.307966745221262,0.144769573186698,0.463799423932967,-0.342154359780047
"985","91573016","female",80,"OTHER","no","Other",NA,"9","no","no",NA,3.5,3,3,3.5,3.25,3,3,3,"White",0.445191804137209,0.0976859125425502,0.018296674522126,0.543090468709086,-0.057966745221262,0.144769573186698,-0.0362005760670332,0.157845640219953
"986","91573017","male",78,"OTHER","no","English","yes","9","yes","yes","8",2,2.75,3.25,3.5,2.5,3.5,2.5,3.25,"White",-1.05480819586279,-0.15231408745745,0.268296674522126,0.543090468709086,-0.807966745221262,0.394769573186698,0.463799423932967,-0.342154359780047
"987","91573031","male",78,"BLACK","no","English","yes","9","no","no",NA,3.5,2.75,2.75,3,3.5,3,3,3,"Black",0.445191804137209,-0.15231408745745,-0.231703325477874,0.0430904687090861,0.192033254778738,0.144769573186698,-0.0362005760670332,0.157845640219953
"988","91573099","male",77,"OTHER","no","English","yes","12",NA,"yes","9",2.5,2.5,3.5,3,3,2.5,3,2.5,"White",-0.554808195862791,-0.40231408745745,0.518296674522126,0.0430904687090861,-0.307966745221262,-0.355230426813302,-0.536200576067033,0.157845640219953
"989","91573234","female",77,"OTHER","no","English","yes","12",NA,"no",NA,3.25,2.5,3.25,2.75,3.75,3.5,2.5,3.25,"White",0.195191804137209,-0.40231408745745,0.268296674522126,-0.206909531290914,0.442033254778738,0.394769573186698,0.463799423932967,-0.342154359780047
"990","91573248","female",78,"OTHER","no","English",NA,"10","no","no",NA,2.75,2.25,3,3,2.75,3.25,2,2.75,"White",-0.304808195862791,-0.65231408745745,0.018296674522126,0.0430904687090861,-0.557966745221262,-0.105230426813302,0.213799423932967,-0.842154359780047
"991","91573253","male",78,"OTHER","no","English","yes","10","no","no",NA,3.25,2.75,2.75,3,3.5,3,3,3,"White",0.195191804137209,-0.15231408745745,-0.231703325477874,0.0430904687090861,0.192033254778738,0.144769573186698,-0.0362005760670332,0.157845640219953
"992","91573254","female",80,"OTHER","no","English",NA,"9","no","no",NA,3.5,2.75,2.75,2.5,3.25,3.25,3.25,3,"White",0.445191804137209,-0.15231408745745,-0.231703325477874,-0.456909531290914,-0.057966745221262,0.144769573186698,0.213799423932967,0.407845640219953
"994","91573259","female",78,"OTHER","no","English","yes","11",NA,"no",NA,3.5,3.25,3.75,3,2.75,3,3.25,3,"White",0.445191804137209,0.34768591254255,0.768296674522126,0.0430904687090861,-0.557966745221262,0.144769573186698,-0.0362005760670332,0.407845640219953
"995","91573291","female",78,"OTHER","no","English",NA,"10","no","no",NA,3,3,3,2.75,3.25,3.25,2.5,2.75,"White",-0.0548081958627913,0.0976859125425502,0.018296674522126,-0.206909531290914,-0.057966745221262,-0.105230426813302,0.213799423932967,-0.342154359780047
"996","91573310","male",81,"OTHER","no","English","yes","7","yes","no",NA,3.5,3,3,3.5,3.5,2.5,3.5,3,"White",0.445191804137209,0.0976859125425502,0.018296674522126,0.543090468709086,0.192033254778738,0.144769573186698,-0.536200576067033,0.657845640219953
"998","91573323","male",77,"BLACK","no","English","yes",NA,"no","no",NA,2.33333333333333,3.75,3,3,2.75,3.5,3.5,3.33333333333333,"Black",-0.721474862529458,0.84768591254255,0.018296674522126,0.0430904687090861,-0.557966745221262,0.478102906520032,0.463799423932967,0.657845640219953
"1000","91573334","female",76,"OTHER","no","English","yes",NA,NA,"no",NA,3,3.25,2.75,2.5,3.5,3,3,2.75,"White",-0.0548081958627913,0.34768591254255,-0.231703325477874,-0.456909531290914,0.192033254778738,-0.105230426813302,-0.0362005760670332,0.157845640219953
"1002","91573410","female",82,"OTHER","no","English","yes","7",NA,"no",NA,2.75,3,3,2.5,3,2.75,3,3,"Asian/Pacific Islander",-0.304808195862791,0.0976859125425502,0.018296674522126,-0.456909531290914,-0.307966745221262,0.144769573186698,-0.286200576067033,0.157845640219953
"1003","91573414","male",79,"OTHER","no","English",NA,"9","no","no",NA,3,3,2.5,3,3,2.75,2.75,2.75,"White",-0.0548081958627913,0.0976859125425502,-0.481703325477874,0.0430904687090861,-0.307966745221262,-0.105230426813302,-0.286200576067033,-0.0921543597800469
"1004","91573417","female",81,"OTHER","no","English","yes","8","no","no",NA,3.5,3.25,3.25,3,3,3.5,3,3,"White",0.445191804137209,0.34768591254255,0.268296674522126,0.0430904687090861,-0.307966745221262,0.144769573186698,0.463799423932967,0.157845640219953
"1005","91573419","female",77,"OTHER","no","English","yes","11","no","yes","5",2.25,2.75,2.75,2.75,3.5,2.25,3,2.25,"White",-0.804808195862791,-0.15231408745745,-0.231703325477874,-0.206909531290914,0.192033254778738,-0.605230426813302,-0.786200576067033,0.157845640219953
"1007","91573516","male",77,"OTHER","no","English","yes","11","no","no",NA,3.5,3.25,3,3.25,3.75,2.75,2.5,3,"White",0.445191804137209,0.34768591254255,0.018296674522126,0.293090468709086,0.442033254778738,0.144769573186698,-0.286200576067033,-0.342154359780047
"1010","91573708","female",79,"BLACK","no","English","yes","10","no","no",NA,3.25,2.75,3.5,2.75,2.75,2.25,2.25,2.75,"Black",0.195191804137209,-0.15231408745745,0.518296674522126,-0.206909531290914,-0.557966745221262,-0.105230426813302,-0.786200576067033,-0.592154359780047
"1011","91573811","male",80,"OTHER","no","English",NA,"8","no","no",NA,3.5,3.25,2.5,3,2.5,2.75,2.75,2.5,"White",0.445191804137209,0.34768591254255,-0.481703325477874,0.0430904687090861,-0.807966745221262,-0.355230426813302,-0.286200576067033,-0.0921543597800469
"1012","91573902","female",76,"HISPANIC","yes","Spanish","no","12",NA,"no",NA,3.5,3.5,3.25,4.25,3.75,3,3,3.5,"Other",0.445191804137209,0.59768591254255,0.268296674522126,1.29309046870909,0.442033254778738,0.644769573186698,-0.0362005760670332,0.157845640219953
"1014","91573940","male",79,"OTHER","no","English","yes","9","no","yes","9",2.5,2.5,3,2.75,2.75,3,3.25,3,"White",-0.554808195862791,-0.40231408745745,0.018296674522126,-0.206909531290914,-0.557966745221262,0.144769573186698,-0.0362005760670332,0.407845640219953
"1015","91573944","male",77,"OTHER","no","English","yes","12","no","no",NA,3,2.75,3.5,2.5,3.25,3.25,3,2.25,"White",-0.0548081958627913,-0.15231408745745,0.518296674522126,-0.456909531290914,-0.057966745221262,-0.605230426813302,0.213799423932967,0.157845640219953
"1016","91573948","male",80,"OTHER","no","English",NA,"8","no","no",NA,3.25,3,3.5,3,2.75,3,3,2.25,"White",0.195191804137209,0.0976859125425502,0.518296674522126,0.0430904687090861,-0.557966745221262,-0.605230426813302,-0.0362005760670332,0.157845640219953
"1017","91573951","male",81,"OTHER","no","English","yes","8",NA,"no",NA,3.25,3,3.25,3,3.75,3,3.25,3,"White",0.195191804137209,0.0976859125425502,0.268296674522126,0.0430904687090861,0.442033254778738,0.144769573186698,-0.0362005760670332,0.407845640219953
"1018","91573955","male",79,"OTHER","no","English","yes","10","no","no",NA,3,3,2.5,3,3.5,3,3,3.5,"White",-0.0548081958627913,0.0976859125425502,-0.481703325477874,0.0430904687090861,0.192033254778738,0.644769573186698,-0.0362005760670332,0.157845640219953
"1020","91573958","male",77,"OTHER","no","English","yes","11","no","no",NA,4.75,3.5,3.25,3.75,3.5,4,3,3.25,"White",1.69519180413721,0.59768591254255,0.268296674522126,0.793090468709086,0.192033254778738,0.394769573186698,0.963799423932967,0.157845640219953
"1022","91574118","male",77,"BLACK","no","English","yes","12",NA,"no",NA,3.25,3.5,3,3.25,3.25,3.25,2.75,4.25,"Black",0.195191804137209,0.59768591254255,0.018296674522126,0.293090468709086,-0.057966745221262,1.3947695731867,0.213799423932967,-0.0921543597800469
"1023","91574121","male",78,"OTHER","no","English",NA,"10",NA,"yes","9",3.75,2.75,3,3,3,3,2.75,2.5,"White",0.695191804137209,-0.15231408745745,0.018296674522126,0.0430904687090861,-0.307966745221262,-0.355230426813302,-0.0362005760670332,-0.0921543597800469
"1024","91574143","male",77,"OTHER","no","English","yes","12",NA,"no",NA,3.5,2.75,3.25,3,3.75,3.5,2.75,3.25,"White",0.445191804137209,-0.15231408745745,0.268296674522126,0.0430904687090861,0.442033254778738,0.394769573186698,0.463799423932967,-0.0921543597800469
"1026","91574231","female",77,"BLACK","no","English","yes","12",NA,"no",NA,3.5,3.25,3.5,3.25,4,3.25,3.5,3.25,"Black",0.445191804137209,0.34768591254255,0.518296674522126,0.293090468709086,0.692033254778738,0.394769573186698,0.213799423932967,0.657845640219953
"1027","91574308","male",78,"BLACK","no","English",NA,"11","no","no",NA,3.5,3,3,3.25,3.5,3,3,2.5,"Black",0.445191804137209,0.0976859125425502,0.018296674522126,0.293090468709086,0.192033254778738,-0.355230426813302,-0.0362005760670332,0.157845640219953
"1028","91574337","male",79,"BLACK","no","English","yes","9","no","yes","7",2.25,2.75,3,2.75,3.5,3,3.25,3,"Black",-0.804808195862791,-0.15231408745745,0.018296674522126,-0.206909531290914,0.192033254778738,0.144769573186698,-0.0362005760670332,0.407845640219953
"1029","91574399","female",78,"BLACK","no","English","yes","11","no","no",NA,3,2.5,3.25,3,3.75,3.25,2.75,3,"Black",-0.0548081958627913,-0.40231408745745,0.268296674522126,0.0430904687090861,0.442033254778738,0.144769573186698,0.213799423932967,-0.0921543597800469
"1030","91574403","female",79,"BLACK","no","English",NA,"10","no","no",NA,3.75,3,3.25,3.5,3.5,3,2.75,3.25,"Black",0.695191804137209,0.0976859125425502,0.268296674522126,0.543090468709086,0.192033254778738,0.394769573186698,-0.0362005760670332,-0.0921543597800469
"1031","91574430","male",77,"BLACK","no","English","yes","9","yes","yes","9",2.75,2.75,2.75,3.25,2.75,3,3,2.75,"Black",-0.304808195862791,-0.15231408745745,-0.231703325477874,0.293090468709086,-0.557966745221262,-0.105230426813302,-0.0362005760670332,0.157845640219953
"1033","91574504","female",81,"BLACK","no","English","yes","8","no","no",NA,3.5,3.5,3.5,4,4,2.5,3.5,3.5,"Black",0.445191804137209,0.59768591254255,0.518296674522126,1.04309046870909,0.692033254778738,0.644769573186698,-0.536200576067033,0.657845640219953
"1034","91574594","male",77,"OTHER","no","English","yes","11",NA,"yes","7",2.25,2.25,3,4,2.5,4,2.25,2.75,"White",-0.804808195862791,-0.65231408745745,0.018296674522126,1.04309046870909,-0.807966745221262,-0.105230426813302,0.963799423932967,-0.592154359780047
"1035","91574604","male",78,"BLACK","no","English","yes","11","yes","yes","11",3.5,3,3.25,2.5,3.5,3,2.5,2.75,"Black",0.445191804137209,0.0976859125425502,0.268296674522126,-0.456909531290914,0.192033254778738,-0.105230426813302,-0.0362005760670332,-0.342154359780047
"1036","91574632","female",77,"OTHER","no","English","yes","12",NA,"no",NA,3.5,3,3,3.25,3,3.5,3,3.25,"White",0.445191804137209,0.0976859125425502,0.018296674522126,0.293090468709086,-0.307966745221262,0.394769573186698,0.463799423932967,0.157845640219953
"1037","91574688","female",78,"OTHER","no","English","yes","10","no","no",NA,3.25,3.5,2.75,3.75,4,3.25,3,3,"White",0.195191804137209,0.59768591254255,-0.231703325477874,0.793090468709086,0.692033254778738,0.144769573186698,0.213799423932967,0.157845640219953
"1038","91574694","female",78,"BLACK","no","English",NA,"10","no","no",NA,2.25,2.25,2.75,2.25,5,2.5,3,4.75,"Black",-0.804808195862791,-0.65231408745745,-0.231703325477874,-0.706909531290914,1.69203325477874,1.8947695731867,-0.536200576067033,0.157845640219953
"1039","91574696","male",78,"BLACK","no","English","yes","10","no","yes","10",3,2.25,2.75,2.5,3.5,2.5,2.5,2.25,"Black",-0.0548081958627913,-0.65231408745745,-0.231703325477874,-0.456909531290914,0.192033254778738,-0.605230426813302,-0.536200576067033,-0.342154359780047
"1041","91574796","female",79,"BLACK","no","English","yes","9","no","yes","9",3,2.25,3.25,3,3.5,2.75,3.5,2.75,"Black",-0.0548081958627913,-0.65231408745745,0.268296674522126,0.0430904687090861,0.192033254778738,-0.105230426813302,-0.286200576067033,0.657845640219953
"1042","91574811","female",80,"OTHER","no","English","yes","9","no","no",NA,3,2.75,3.5,2.25,3.5,2.75,3,3,"White",-0.0548081958627913,-0.15231408745745,0.518296674522126,-0.706909531290914,0.192033254778738,0.144769573186698,-0.286200576067033,0.157845640219953
"1045","91574916","female",77,"BLACK","no","English","yes","11",NA,"yes","11",2.75,3,3,3.25,3,3,3,3.25,"Black",-0.304808195862791,0.0976859125425502,0.018296674522126,0.293090468709086,-0.307966745221262,0.394769573186698,-0.0362005760670332,0.157845640219953
"1046","91574923","female",77,"OTHER","no","English","yes","12",NA,"no",NA,3.5,3,4,3.5,3.75,3.75,3.25,3.5,"White",0.445191804137209,0.0976859125425502,1.01829667452213,0.543090468709086,0.442033254778738,0.644769573186698,0.713799423932967,0.407845640219953
"1047","91574993","male",78,"BLACK","no","English","yes","11",NA,"yes","11",1.5,1.75,1.25,1.75,2.25,1.5,2,1.25,"Black",-1.55480819586279,-1.15231408745745,-1.73170332547787,-1.20690953129091,-1.05796674522126,-1.6052304268133,-1.53620057606703,-0.842154359780047
"1049","91575060","male",79,"OTHER","no","English","yes","10","no","no",NA,2.75,3.25,2.75,3.75,3.25,3.25,3,3.25,"White",-0.304808195862791,0.34768591254255,-0.231703325477874,0.793090468709086,-0.057966745221262,0.394769573186698,0.213799423932967,0.157845640219953
